# ell_eff D_ell_1h D_ell_2h D_ell_total
1.0000000000000000e+01 1.3967517204827662e-16 4.4372046777143112e-16 5.8339563981970778e-16
1.3500000000000000e+01 2.4213168410638586e-16 7.0463035628410069e-16 9.4676204039048659e-16
1.8000000000000000e+01 4.1384825234699917e-16 1.0757263390691458e-15 1.4895745914161450e-15
2.3500000000000000e+01 6.8389085256520843e-16 1.5550232060392708e-15 2.2389140586044790e-15
3.0500000000000000e+01 1.1226558013212057e-15 2.1707384220548605e-15 3.2933942233760664e-15
4.0000000000000000e+01 1.8826790078760976e-15 2.9752530763198710e-15 4.8579320841959686e-15
5.2500000000000000e+01 3.1571479738852465e-15 3.9476012667362871e-15 7.1047492406215335e-15
6.8500000000000000e+01 5.2235180073207267e-15 5.0435993730232576e-15 1.0267117380343984e-14
8.9500000000000000e+01 8.6320388269055471e-15 6.2602858495557559e-15 1.4892324676461304e-14
1.1700000000000000e+02 1.4191104132891840e-14 7.5370894588108037e-15 2.1728193591702644e-14
1.5250000000000000e+02 2.3030097826970484e-14 8.7490225643102712e-15 3.1779120391280757e-14
1.9800000000000000e+02 3.6767448786847899e-14 9.7761204898830702e-15 4.6543569276730971e-14
2.5750000000000000e+02 5.8218067657076849e-14 1.0559607686716169e-14 6.8777675343793011e-14
3.3550000000000000e+02 9.1133962004020861e-14 1.1054388839425714e-14 1.0218835084344657e-13
4.3650000000000000e+02 1.3979837224041997e-13 1.1213466356051695e-14 1.5101183859647168e-13
5.6750000000000000e+02 2.0961112345804612e-13 1.1009617366879875e-14 2.2062074082492600e-13
7.3800000000000000e+02 3.0627596443866233e-13 1.0467074961638199e-14 3.1674303940030055e-13
9.5950000000000000e+02 4.3358524716413381e-13 9.6251183631980082e-15 4.4321036552733180e-13
